各列含意：
1.Samples（样本数）：表示采样器在程序执行期间捕获到该函数的样本数。
2.Percentage（百分比）：显示该函数占所有样本的百分比。它表示该函数在程序执行期间消耗的时间和资源的相对比例。
3.Cumulative Percentage（累积百分比）：表示当前函数及其上层调用函数的总体百分比。它表示当前函数及其上层调用函数在程序执行期间消耗的时间或资源的累积比例。
4.Self（自身开销）：表示当前函数自身消耗的时间或资源。它通常是除去当前函数调用的子函数开销后，当前函数剩余的开销。
5.Cumulative Self（累积自身开销）：表示当前函数及其上层调用函数的总体自身开销。它表示当前函数及其上层调用函数在程序执行期间剩余的自身开销的累积值。
6.Function Name（函数名称）：被分析的函数的名称。

Total: 6541 samples
     596   9.1%   9.1%      596   9.1% send
       1   0.0%  99.3%       11   0.2% std::deque::_M_erase_at_end
       1   0.0%  99.3%        9   0.1% std::deque::_M_push_back_aux
       1   0.0%  99.4%        3   0.0% std::deque::_M_reallocate_map
       1   0.0%  99.4%        4   0.1% std::deque::front
       1   0.0%  99.4%       41   0.6% std::find_if
       1   0.0%  99.4%        1   0.0% std::function::operator bool
       1   0.0%  99.4%        5   0.1% std::make_unique
       1   0.0%  99.4%        1   0.0% std::min
       1   0.0%  99.4%        2   0.0% std::operator-
       1   0.0%  99.5%        6   0.1% std::pair::~pair
       1   0.0%  99.5%       24   0.4% std::shared_ptr::operator=
       1   0.0%  99.5%        5   0.1% std::swap
       1   0.0%  99.5%        2   0.0% std::unique_ptr::operator*
       1   0.0%  99.5%        5   0.1% std::unique_ptr::release
       1   0.0%  99.5%       18   0.3% std::unique_ptr::unique_ptr
       1   0.0%  99.6%       62   0.9% std::unordered_map::clear
       1   0.0%  99.6%       25   0.4% std::unordered_map::reserve
       1   0.0%  99.6%        6   0.1% std::vector::begin
       1   0.0%  99.6%        1   0.0% tcmalloc::CentralFreeList::FetchFromOneSpans
       1   0.0%  99.6%        1   0.0% ws::Epoll::Add@b710
       1   0.0%  99.6%        1   0.0% ws::Epoll::Modify@b7bc
       1   0.0%  99.6%        1   0.0% ws::EpollEvent::Return_Pointer
       1   0.0%  99.7%        1   0.0% ws::EpollEvent::Return_fd &
       1   0.0%  99.7%        1   0.0% ws::FileProxy::fd &
       1   0.0%  99.7%      130   2.0% ws::FileReader::FileReader
       1   0.0%  99.7%        1   0.0% ws::FileReader::SendFile
       1   0.0%  99.7%        1   0.0% ws::FileReader::Send_End &
       1   0.0%  99.7%       89   1.4% ws::FileReader::~FileReader
       1   0.0%  99.8%        1   0.0% ws::Havefd::Havefd
       1   0.0%  99.8%        1   0.0% ws::HttpParser_Content::init
       1   0.0%  99.8%        1   0.0% ws::HttpRequest::Return_Method
       1   0.0%  99.8%        1   0.0% ws::HttpRequest::Set_CLength
       1   0.0%  99.8%        1   0.0% ws::HttpRequest::Set_StatusCode
